Numero_WB_Sistema1,Status_Longform_Concluido,Motivo_Longform_Nao_Concluido,Codigo_do_Evento,Data_e_Hora_do_Evento,Ultimo_Local_Evento,Ultima_Estacao_Evento,Numero_WB_Remessa,Gateway_Identificado,Estacao_Gateway
9084986689,Não,Not Started,DP,2025-06-18 08:51:54,HUB,PVG,9084986689,,PVG
9084986689,Não,Not Started,PU,2025-06-19 14:59:25,HUB,PVG,9084986689,,PVG
9084986689,Não,Not Started,SI,2025-06-19 14:59:26,HUB,PVG,9084986689,,PVG
9084986689,Não,Not Started,HN,2025-06-19 18:40:31,HUB,PVG,9084986689,,PVG
9084986689,Não,Not Started,IA,2025-06-19 18:42:34,HUB,PVG,9084986689,,PVG
9084986689,Não,Not Started,RW,2025-06-19 18:53:30,HUB,PVG,9084986689,,PVG
9084986689,Não,Not Started,PL,2025-06-19 18:55:24,HUB,PVG,9084986689,,PVG
9084986689,Não,Not Started,PL,2025-06-19 18:55:35,HUB,PVG,9084986689,,PVG
9084986689,Não,Not Started,DP,2025-06-19 19:02:41,HUB,PVG,9084986689,,PVG
9084986689,Não,Not Started,PL,2025-06-19 19:10:17,HUB,PVG,9084986689,,PVG
9084986689,Não,Not Started,RR,2025-06-19 19:10:29,HUB,PVG,9084986689,,PVG
9084986689,Não,Not Started,DF,2025-06-19 19:10:58,HUB,PVG,9084986689,,PVG
9084986689,Não,Not Started,RR,2025-06-19 19:30:33,HUB,PVG,9084986689,,PVG
9084986689,Não,Not Started,RR,2025-06-19 19:46:13,HUB,PVG,9084986689,,PVG
9084986689,Não,Not Started,AF,2025-06-19 20:13:15,HUB,PVG,9084986689,,PVG
9084986689,Não,Not Started,CI,2025-06-19 20:27:26,HUB,PVG,9084986689,,PVG
9084986689,Não,Not Started,UD,2025-06-19 20:30:10,HUB,PVG,9084986689,,PVG
9084986689,Não,Not Started,RW,2025-06-19 20:30:11,HUB,PVG,9084986689,,PVG
9084986689,Não,Not Started,CR,2025-06-19 22:34:44,HUB,PVG,9084986689,,PVG
9084986689,Não,Not Started,RR,2025-06-19 22:34:44,HUB,PVG,9084986689,,PVG
9084986689,Não,Not Started,RW,2025-06-20 14:33:23,HUB,PVG,9084986689,,PVG
9084986689,Não,Not Started,PL,2025-06-20 14:33:23,HUB,PVG,9084986689,,PVG
9084986689,Não,Not Started,PL,2025-06-20 14:39:16,HUB,PVG,9084986689,,PVG
9942099636,Não,Not Started,DP,2025-06-19 12:56:39,GTW,AMD,9942099636,GTW,AMD
9942099636,Não,Not Started,PU,2025-06-19 16:46:54,GTW,AMD,9942099636,GTW,AMD
9942099636,Não,Not Started,PU,2025-06-19 16:46:54,GTW,AMD,9942099636,GTW,AMD
9942099636,Não,Not Started,PU,2025-06-19 16:46:54,GTW,AMD,9942099636,GTW,AMD
9942099636,Não,Not Started,SI,2025-06-19 16:46:55,GTW,AMD,9942099636,GTW,AMD
9942099636,Não,Not Started,SI,2025-06-19 16:46:55,GTW,AMD,9942099636,GTW,AMD
9942099636,Não,Not Started,SI,2025-06-19 16:46:55,GTW,AMD,9942099636,GTW,AMD
9942099636,Não,Not Started,CI,2025-06-19 17:30:50,GTW,AMD,9942099636,GTW,AMD
9942099636,Não,Not Started,CI,2025-06-19 17:30:54,GTW,AMD,9942099636,GTW,AMD
9942099636,Não,Not Started,CI,2025-06-19 17:31:01,GTW,AMD,9942099636,GTW,AMD
9942099636,Não,Not Started,IA,2025-06-19 17:32:47,GTW,AMD,9942099636,GTW,AMD
9942099636,Não,Not Started,RW,2025-06-19 17:37:04,GTW,AMD,9942099636,GTW,AMD
9942099636,Não,Not Started,RW,2025-06-19 17:37:48,GTW,AMD,9942099636,GTW,AMD
9942099636,Não,Not Started,RW,2025-06-19 17:38:24,GTW,AMD,9942099636,GTW,AMD
9942099636,Não,Not Started,CI,2025-06-19 18:32:52,GTW,AMD,9942099636,GTW,AMD
9942099636,Não,Not Started,PL,2025-06-19 19:10:01,GTW,AMD,9942099636,GTW,AMD
9942099636,Não,Not Started,PL,2025-06-19 19:10:04,GTW,AMD,9942099636,GTW,AMD
9942099636,Não,Not Started,PL,2025-06-19 19:10:05,GTW,AMD,9942099636,GTW,AMD
9942099636,Não,Not Started,PL,2025-06-19 19:49:52,GTW,AMD,9942099636,GTW,AMD
9942099636,Não,Not Started,PL,2025-06-19 19:49:52,GTW,AMD,9942099636,GTW,AMD
9942099636,Não,Not Started,PL,2025-06-19 19:49:52,GTW,AMD,9942099636,GTW,AMD
9942099636,Não,Not Started,PL,2025-06-19 19:56:49,GTW,AMD,9942099636,GTW,AMD
9942099636,Não,Not Started,PL,2025-06-19 19:56:49,GTW,AMD,9942099636,GTW,AMD
9942099636,Não,Not Started,PL,2025-06-19 19:56:49,GTW,AMD,9942099636,GTW,AMD
9942099636,Não,Not Started,PL,2025-06-19 20:05:01,GTW,AMD,9942099636,GTW,AMD
9942099636,Não,Not Started,PL,2025-06-19 20:05:01,GTW,AMD,9942099636,GTW,AMD
9942099636,Não,Not Started,PL,2025-06-19 20:05:01,GTW,AMD,9942099636,GTW,AMD
9942099636,Não,Not Started,PL,2025-06-19 20:16:29,GTW,AMD,9942099636,GTW,AMD
9942099636,Não,Not Started,PL,2025-06-19 20:16:29,GTW,AMD,9942099636,GTW,AMD
9942099636,Não,Not Started,PL,2025-06-19 20:16:29,GTW,AMD,9942099636,GTW,AMD
